phrase,class
تقدر تنتقد بلدك يا خنزير,1
واحد كلب  الله يحرقك يا خنزير,1
صياحك لنفسك ياخنزير,1
تكذب يا خنزير,1
بكاء الخنزير انشالله ياكلب,1
طيب ياكلب عطيتك شي أنا أبيه,1
الامير يدوسك بنعاله ياكلب الفرس,1
ياكلب حنا قلنا الاذناب العرب,1
يوم الأحد بعد يايهودي ياكلب,1
الله يلعن تجاعيد شعرك ياكلب,-1
ياكلب يا ابن الكلب انت واياه,1
من هو الخائن ياكلب عزمي حماره,1
ياخلايا عزمي ياكلب انبح انبح سلمان,1
اقبل علينه الحزن ياكلب كوم اتلكاه,1
تكون زباله لايران لعنك الله ياكلب ايران,1
الكل يلاحظ حبك للشخص ونفس الشخص ما يحس إنك تحبه ليش ياكلب,1
عدد البنات بالسعوديه١٦مليون تحب ورع وتغار عليه ليه ياكلب,1
على تبن يملا ثمك ياكلب,1
الكل يلاحظ حبك للشخص ونفس الشخص ما يحس إنك تحبه ليش ياكلب,1
انبح ياكلب لن تستفيد من نباحك غير الغيظ,1
انبح ياكلب لن تستفيد من نباحك غير الغيظ,1
على الشبك ياكلب ايران,1
ياحوثى ياحقير ال سعود والامارات تاج ع راسك ياكلب ابن كلب,1
بوس ياكلب,1
ياكلب ياابن قطرٍ خسئت,1
راقب جلدك من اسطوره ياكلب,1
والله لو انك قدامي لا اعريك ياكلب ياحيوان,1
انظر ياكلب من الجالس ومن يقف,1
ننتظر تعليقك ياكلب حزب الله,1
ياكلب ايران,1
ياكلب انت وياه سمو الامير تاج روسكم,1
تاكد ياكلب بتزحف لرياض زحف والايام بيننا,1
انبح ياكلب اقوا,1
ياربي ما ألطفك ياكلب ياحمار,1
هاذا تاج راسك ياكلب ابعد صورتك ياكلب,1
عليك اللعنه ياحوثي ياكلب,1
بوس الجزم ياكلب,1
انتم الارهبيين ياكلب يامرتزق ياعميل,1
انتم الارهبيين ياكلب يامرتزق ياعميل,1
شكرا لغبائك تم التبليغ عن حسابك يومين و يتسكر يا جحش,1
يا جحش صدع معزبك,1
قالت زينب بنت جحش رضي الله عنها,0
وان لم تدخل البنان هذا الباخره مادم انتا هناك يكفي ياجحش,1
يا مطي يا جحش,1
روح يا حمار اجري فيك وبشير الجميل العميل القزم واجري بوجك يا جحش,1
تدافع عن فصيلتك ياجحش,1
ياجحش رئيسك بشار النعجه شحنوه بطائرة شحن لروسيا,1
بل لجوج حقود حسود يا جحش,1
ليك ياجحش الفرق بين الرئيس رفيق الحريري وبين هادي ابن الخرا,1
تتغزل ب حليمتك قلعتك  لكن تغلط على بنات الناس ياجحش ليه,1
أصمت يا جحش ما خصك بلبنان,1
ليك على مين بدي رد روح سآل حلفاؤك مين قتلهم يا جحش,1
العمالقة ياجحش من قوات الرئيس الشرعي,1
انقذنا ياجحش السعوديه اوه اقصد ياحليب السعوديه,1
من قليل الادراك ياجحش هذا وانت دكتور,1
مولر ياجحش,1
أنعل والديك يا جحش,1
تخسا ياجحش والجحش اكرم منك,1
قل له ياثور ياجحش ياحمار اما الفخامه لها رجالها,1
تاج راسك يا جحش,1
عمر رحمون ولك جحش انت تبيع محارمك بالدولار تتكلم عن اسيادك ياجحش,1
طز بسمو الامير وبجدك وببيك وفيك بطريق يا جحش,1
صرماية الحريري بتمك وعلى راسك انت ورئيسك يا جحش,1
الله لاياخذك ياحمار,1
ياحمار ياغبي ياجاهل مانيب عتريسي,1
يا حمار الأمم المتحدة,1
هتعمل ايه بقى يا حمار,1
يا حمار لما بدك تشرب اشرب ببيتك لا تشرب بالشارع,1
يا شعب حمار وحاكم ذكي,1
شفت يا حمار هيك الواحد بمسك الضو,1
هذا شيخ عراقي حر يامجنس تفو على بطن أمك اللي جابتك يا حمار,1
اي نصيحه فيها ياحمار صدقها,1
لما اكنسل مره متتصلش تاني يغبي يمتخلف يا حمار,1
يا حمار يامتخلف عمرك لا الطقطق على ملابس شخص,1
الثقل هو عبارة عن إنك ماتسلم قلبك للرايح والجاي مو ترد متأخر ياحمار,1
اذا قعدت الصبح ولقيتها تتهاوش معاك شوف انت يا حمار,1
ياحمار احمد ربك انك من العشرة الاوائل,1
ياحمار مابتعرف أن جحوشك السوريين قتلوا رشيد كرامي,1
ياحمار ياقبيح الحمير,1
انت حمار يعني الحين انت يوم مسكوك في شقة كلها شواذ,1
انـتـبـه لا تقـل لأحـد يا حمار يا كلب,1
لا تقل لصاحبك يا حمـار يا كلــب,1
الثقل هو عبارة عن إنك ما تسلم قلبك للرايح والجاي مو ترد متأخر يا حمار,1
ياحمار افاهم الستات محتاجه دلع,1
يا سلمان يا حمار الأمريكان,1
المعجب السري خلك سري لين تموت ياحمار,1
اعوذ بالله منك ياشيطان ومن افكارك الفاسقه,0
اللهم اغزيك ياشيطان,0
أمريكا هي الشيطان الأكبر,1
الله ياخدك ع جهنم الحمرا ياشيطان مع سلالتك كلا ياابن الحرام يانجس يايهودي,-1
السوريون قالوا كلمتهم  فحاربتهم ياشيطان الارض,1
ماشفتك نطقت بكلمه ياشيطان ياقذر,1
بشار الجعفري يتلو ما قال بأنها الفاتحة من قرآنهم   وكذبت وخبت ياشيطان يارجيم,1
وروحك ياشيطان الزمان بشار,1
بشار ياكلب ياخنزير ياشيطان,1
يا بشار سوف ياتيك يوم ياشيطان,1
حسبي يالله ونعم الوكيل فيك ياشيطان  بشار  واسرائيل والحوثي,1
ان الله يمهل ولايهمل ياشيطان الارض,1
الله يدمرك بشار ونخلص منك ياشيطان,1
انا سنى ياشيطان ياحر بشار وكل الشيعه مسلمون,1
ياجحش ياشيطان ياابن الشياطين ياقاتل بسلاح الكيماوي ناس مظلومين,1
بشار يستخدم الكيماوي في دير الزور 21-7-2012 حسبي الله عليك ياشيطان,1
اتشبهيه بالحيوان فالحيوان اكرم منه لل نقول بشار ياشيطان,1
أبشركم مفتي الظلام قد تم تفجره اليوم الله لا يرحمك يارب وتكون النار مثوى لك ياشيطان يا عميل بشار وإيران,1
هذي مهمة عنان اللي قال فيها قبل ٤ ايام ان بشار وعدني بوقف العنف تدريجي  لعنة الله عليك ياعنان ياشيطان,1
بشار يالمتهور ياشيطان المتطور,1
الله ينتقم منك ياشيطان منت بشار اللهم ارنا عجائب قدرتك فيه يالله,1
بشار الأسد يزور الجامع الأموي سوريا وبلاد الشام ستبقى منهلا أساسياً للدين الإسلامي الحنيف  هل تعرف الاسلام ياشيطان يامارق ياكذاب,1
الله يلعنك و يلعن البنت و يلعن ابوها انا شو يخصني اسمع صريخك,-1
الله يلعنك يا بهاء مجدي انت و الي جابك,-1
اللعن شي لما تقعد تتحلطم عند شخص ومتحمس واخر شي يقول الله يعينك ياخي الله يلعنك,-1
الله يلعنك ياعبادي انته وجيشك واحزابكم,-1
الله يلعنك الرجال جالس يعزي وانت جالس تتمحن هنا,-1
انقلع الله يلعنك ياحياه الفهد,-1
الله يلعنك دنيا وآخرة  الله ينصر السعودية عليكم وباذن الله الواحد الاحد,-1
اقول الله يلعنك يا بلادي لكن ملعنة اكثر من اللي احنا فيه,-1
رامزي الله يلعنك,-1
الله يلعنك دنيا واخره والله مغتصبتو البلاد والعباد الا انتم يافصقه يانجس,-1
الله يلعنك وحده بعبايتها ومنقبه وكلها سواد وتهيج عليهم,-1
الله يلعنك يا سيسي,-1
الله يلعنك في الدنيا والاخره يا  اخو الشيظان,-1
يابن العبيطة هو انت تعرف الله وتعرف يوم الدين ايها الكذاب الاشر الله يلعنك ويلعن اسيادك الصهاينة وكلاب اسرائيل حكام قطر وتركيا وايران,-1
الفكرة او الانتقاد اللي يقوله صحيح لكن الخطأ في التعبير بنهاية المقطع بحق الفرزدق والله يلعنك ويلعن السذج اللي صعدوك,-1
وانت ايش حققت يا فاشل السرق الله يلعنك ياخالد اكبر سارق في الكره الارضيه سارق ومتفلسف,-1
الله يلعنك وانشالله تصرف هالفلوس على صحتك وماتطيب يا لص,-1
الله يلعنك ليلعن اللي رباكي يا بنت الكلاب,-1
الله يلعنك ويلعنها فعلا الطيور على أشكالها تقع,-1
الله يلعنك ويلعن ابوك الفاسق وأخوك الكلب تبغي الإمامة وبدعم من تميم الكلب,-1
الله يلعنك انت واسيادك,-1
معاوية شارب الخمر الله يلعنك ويلعن معاوية وابنة يزيد وبني اميه اجمعين,-1
الله يلعنك ويلعن من رباك انقلع يا حشري,-1
حبيتك من كل قلبي الله يلعنك و يلعن قلبي معك,-1
الله يلعنك شو مريض نفسي  قلنالكم زمن التنازلات و زمن التضحية  مع ناس ما عندها وفاء  راح من غير رجعة,-1
الله يلعنك ياتوكل كرمان يادجاله  انتي والمسخ اللي وراكي والنذل حميد صندقه وقطيع الحمير اللي نحقوا وراكم,-1
وخذ مني بعد الله يلعنك انت ومن مثلك والزباله امثالكم مايبغالهم الا كذا احتقار ودعس عالرقاب,-1
اذا صار غيري يسعدك الله يلعنه و يلعنك,-1
الله يلعنك ويلعنه شيخ عرطه  المشايخ لازم يتحاسبوا وتتصادر ممتلكاتهم,-1
الله يلعنك ويبعدك  يشهد الله على كرهي لك فيه,-1
الله يلعنك أنت والحمارات حقك والله ما يشرفني حتى التبول عليها,-1
ابلع يا ابن الزنا يا هاسي انت ودفاعك رايح تراكض ٤٥ دقيقه راحت اللياقه كن مافيه الا شوط واحد تراك ضد الهلال,-1
الله يلعن امك ي سواريز ي ابن الزنا,-1
بتاعةالاغراء الكوزه  ايات  بنت الحماره  الاء بنت الحماره وبنت الزنا البعلقوا  الحمير بنات الحمير صلحب الصفحه اسمر ابن الحمار,-1
تكفى يا وائل ما قصرت في ابن الزنا وابن الحرام,-1
من وين تحررها يا ابن الزنا انتو كلاب ايران الله يلعنكم,-1
إبن الزنا يتكلم عن الحرب روح حرر أهلك من المعممين,-1
جماعة بدر بدأت بقنص المتظاهرين  بامر من وزير الداخليه العراقي ابن الزنا,-1
سالم زهران ابن زنا و زوج عاهرة و أبوه سكرجي مدمن كوكايين صرماية أمير الكويت برأس خامنئي,-1
ماراح ارد عليك راح اخلي كل شيعة الكويت يبولون عليك يا ابن الزنا,-1
والله يلعن شرفك وشرف الثورة وشرف درعا يلي مشان عجيانهم اولاد الزنا تبهدلت كل سورية,-1
يا ابن الكلب انتم شكون قدمتم غير الضفادع واولاد الزنا يلي مثلك ومثل امك واخت ثورتك واخت علمك,-1
نابح اكتر يا ابن الحرام يا ابن الزنا,-1
الخليج تاج راسك يا ابن الكلب يا ابن الحرام,-1
يا ابن الزنا احنى اسيادكم يا حقوديين يا حسوديين,-1
تكفى يا وائل ما قصرت في ابن الزنا وابن الحرام شلاش,-1
من وين تحررها يا ابن الزنا انتو كلاب ايران الله يلعنكم,-1
من وين تحررها يا ابن الزنا انتو كلاب ايران الله يلعنكم,1
بتاعةالاغراء الكوزه  ايات  بنت الحماره  الاء بنت الحماره وبنت الزنا البعلقوا  الحمير بنات الحمير صلحب الصفحه اسمر ابن الحمار,1
يا ابن الزنا اميري مشروعه البيت الي ضافك ياوصخ ماينفع فيكم معروف,-1
اسمع يا ابن الخنازير,1
يا وسخ بابن الزنا يا ابن الكلب روح شوف امك بحضن امريكي ولا بريطاني وبعدها تكلم عن الشرف يا ابن الكلب,-1
يا وسخ بابن الزنا يا ابن الكلب روح شوف امك بحضن امريكي ولا بريطاني وبعدها تكلم عن الشرف يا ابن الكلب,1
انت حثالة نجسة بتسوا صرماية يا ابن الزنا,-1
يا ابن الزنا من متاء وانتو تخفو على المواطنين  قد قتلاتو الحجر ولا بشر,-1
يا ابن الزنا عليك بالوضوء قبل الحديث  عن اسيادك,-1
يا ابن الزنا شفت الشيطان اذا بحاربكم رح اوقف معو يا ابن الزنا,-1
تحدثت العاهره عن الشرف يوسف علاونه كلب المال تف عليك يا ابن الزنا,-1
ديوث راضي على عارك وخواتك يا ابن الزنا,-1
انت ملعون والدين وابن حرام يا بن الكلب,1
انت ملعون والدين وابن حرام يا بن الكلب,-1
يا  ابن  الزنا   تفو  عليك  وعلى صدام,-1
الدب الداشر عاق الوالدين الديوث خرتيت موزه تقصد إلى طلع حريمكم لبيريز في الدوحه الشبك يا زباله الخليج,1
يا عاق الوالدين,1
طالع لك يا عاق الوالدين من كل مكان,1
في حاجة اسمها باور بانك يا عاق الوالدين,1
لعنك الله يا عاق الوالدين يا خاين الأمة تاريخك اسود سود الله وجهك,1
لعنك الله يا عاق الوالدين يا خاين الأمة تاريخك اسود سود الله وجهك,1
يا خنزير الحمدين,1
ابلغ ما تقوله لخنزيركم الاكبر عاق الوالدين,1
ابلغ ما تقوله لخنزيركم الاكبر عاق الوالدين,1
النعال الي برجيله اكرم من العقال الي فوق راسك يا قهوجي يا عاق الوالدين,1
موزه ان شاء الله راح تدخلك جنهم يا عاق الوالدين,1
الا تعلم يا عاق والديك واخوانك لماذا بضيق بك الحياه السب انك قاطع رحم وعاق لاختك وامك لا يمكن تهنى بالحياه يا عاق,1
حبل الكذب قصير يا عاق الوالدين,1
اللهم يا مهلك الطغاة اهلك عاق الوالدين عميل الصهاينة,1
اللهم يا مهلك الطغاة اهلك عاق الوالدين عميل الصهاينة,1
الصهيوني عاق الوالدين,1
بلدانهم والدب الأحمق عاق الوالدين,1
عقوق الوالدين اسباب تفكك الاسر تأمل يا عاق قلب الام,1
أتق الله يا عاق الوالدين,1
اسمع يا عاق الوالدين ماذا تفعل الملائكة بعرش الرحمن,1
يا عاق الوالدين يا حمد,1
هنا تعلموا بر الوالدين والإحسان اليهم وليس الانقلاب يا عاق الوالدين,1
تعلم كيف يكون بر الوالدين يا عاق,1
يا عاق الوالدين شلون يهنالك النوم  شلون تتوسد المخده وتغمض عيونك,1
أبكي يا عاق الوالدين لعل يرق قلبك ويحن لأمك,1
اتعض يا عاق الوالدين,1
هم يبنـــون أحلامهم عليكـــ و انت تحرقها لجل انحرافكــــ يا عــــــاق الوالديــــن,1
تعلم كيف يكون بر الوالدين يا عاق,1
قبائل منطقة جازان ياجاهل قبائل منطقة جازان,1
للبيت رب يحميه ياجاهل,1
خذ هذه اللطمة من كتبك ياجاهل,1
يا جاهل الدنيا ترى كلها أوهام مثل السراب اللي يغرك لميعه,1
انت يالسعودي ياجاهل,1
انت جاهل وحنا مانتكلم مع جهله يله انقلع الله يخلف على امك,1
السعوديات عندهم رجالهم اما من اتى عامل سيذهب وهو عامل ياجاهل,1
كرآمة النفس عندي فوق كل إعتبار ياجاهلٍ,1
يـاجـاهـل الـدنـيـا ودورات الأســبــاب,1
ياجاهل بحكم ال سعود إقراء التاريخ,1
يآجاهل إحساسي ترى الناس عرفوآ,1
هات نشوف بضاعتك ياجاهل من حنا,1
روح اتعلم الإملاء ياجاهل لعنة الله عليك,1
روح اتعلم الإملاء ياجاهل لعنة الله عليك,-1
يا جاهل يا الي تسب البدو لا تحسب البدو ذمه يا المتخلف البدو والبداوه فخر,1
يا جاهل الدنيا ترى كلها أوهام مثل السراب اللِّي يـغـرك لميعه,1
اسمع ياجاهل اسمع ياحاقد,1
من ﻗﺎﻝ حرب ﻗﺒﻴﻠﻪ ﺗﺮﺍﻩ ﻏﻠﻄﺎﻥ حرب ﺩﻭﻟﻪ ﻳﺎﺟﺎﻫﻞ ﻋﻠﻮﻡ الحروب,1
انك بعدك صغير وغشيم وقد ما أحكيلك رح تبقى جاهل يا فهيم,1
يـاجـاهـل الـدنـيـا ودورات الأســبــاب أعرف ترى من خـان غيـرك يخونـك,1
لاتتجاهل التاريخ متعمدآ ياجاهل,1
لو كنا ملائكة هل سنحتاج إلى النصيحة ياجاهل,1
ياجاهل جالس على مكتبك أنت ووزيرك ما تدري عن حقيقة الفصول والمعاناة على أرض الواقع,1
ايران يا جاهل تزرع خلاياها في الخليج و هدفها تدميرنا و السيطرة على بلادنا,1
شوف مليح باش تعرف أنك جاهل,1
اكيد مش هحترم واحد جاهل زي احمد موسى,1
وليسوا مثل ماتفكر ياجاهل,1
يا جاهل ال سعود يجمعون شتات الامة التي تناثرت بسبب المد الصفوي والاعلام القطري,1
ياجاهل لقد عممت علينا ونحن لم نعمم,1
يا جاهل عقبة بن نافع اللى فتح اكثر بلدان شمال افريقيا يكون قرشي,1
راحت فلوسي ونا اصلح في شاشتك كل شهر ياحقير,1
الله يلعنك ياحقير,1
الله يلعنك ياحقير,1
الله ينتقم منك على هذي الحقاره ياحقير,1
راحت فلوسي ونا اصلح في شاشتك كل شهر ياحقير,1
شردتو السوريين والعراقيين بدعمكم للمليشيات ياحقير,1
انهق لين يخيب ثناك ياحقير يابوالفلبن,1
يابخيتي يامجوسي ياحقير لانه قال الصدق,1
ارحل ياحقير,1
هولا اطفال بلدك يا ديوث قتلتهم طائرات اسيادك ياحقير,1
لعنة الله عليك ياحقير دمرت الاتحاد انت وابوك. الله يبتليكم انشاالله,1
شوف ياحقير الجنود الاتراك,1
اتفو عليك ياحقير,1
الا حسبي الله ياحقير ماعندك اخوات,1
ياجاهل ياغبي ياحقير,1
ياحقير عندنا دوامات,1
بس ياكلب ياحقير,1
بس ياكلب ياحقير,1
تاج راس أمثالك ياحقير,1
لعنك الله ياحقير,1
تكفه لاتكلمني ياحقير,1
انت الممل ياحقير,1
اقطع لسانك ياكلب ياحقير,1
اقطع لسانك ياكلب ياحقير,1
المطلوب ياحقير اخق يعني انا اموت هنا,1
اريد ان اسأل الناس الذين دعوا أني فاشل هل يبدوا لك اني دمرت بيتي ياحقير,1
ياحقير يا عديم الادب,1
آه يانذل ياحقير ياواطي,1
قطع الله لسانك ياحقير ذو نطفة ملعونه مطرودة من الجنة لعنتك يارجل اصبتنا في السماء,1
لا تؤلف ولا تكذب ياحقير,1
لن نقوول الا الحقيقه ياحقير,1
لعنه الله عليك ياحقير,1
لعنه الله عليك ياحقير,-1
لاتطلع من حدودك ولا تحاول تكون اكبر من حجمك يامرتزق ياحقير,1
نت تعرف بانك مجرد مرتزق حقير ياحقير,1
ياخالد الانسي اقسم بلله انك ممحون جنسيا واخلاقيا وفكريا وكل شيا قبح الله وجهك ياحقير,1
ياخالد الانسي اقسم بلله انك ممحون جنسيا واخلاقيا وفكريا وكل شيا قبح الله وجهك ياحقير,1
موت بغيظك ياحقير,1
ياكلب ياحقير تفو,1
ياكلب ياحقير تفو,1
كلنا سعوديات ياحقير ياخبيث,1
اخرس ياحقير,1
ياحقير يانذل ياعميل الصهاينة,1
ياحقير يانذل ياعميل الصهاينة,1
جاوبني ياحقير ياسافل,1
جاوبني ياحقير ياسافل,1
ليش تدخل بنيات الناس ياحقير,1
الي ماصلى بالمسجد تفو عليك ياحقير,1
كوك ياحقير شذا الحركات,1
محدش هبشوفك إلي الاوساخ والمثليين امثالك ياحقير,1
لعنه الله عليك ياحقير ويامرتزق هؤلاء من خرجو ماتوجوع في بيوتهم,1
لعنه الله عليك ياحقير ويامرتزق هؤلاء من خرجو ماتوجوع في بيوتهم,1
تف عليك ياحقير امعة العصر يامسيلمه الكذاب,1
خسئت ياحقير,1
نسلمها لأصحابك يانذل آولا حرروا عدن من أمثالك,1
والله السفاله اللي جابهالك وزرعهابمخك هوابوك يانذل,1
لابارك الله فيك يانذل,1
بلادك اصغر امير بجلدك ويجلد طوايفك يانذل,1
نشوفك فيك يوم اسود يانذل ياعديم الرجولة,1
ليه يانذل,1
لعنه الله عليك يانذل,1
لعنه الله عليك يانذل,-1
ابن العاهره يانذل,1
ابن العاهره يانذل,-1
الله ماحيوان الا انت ياوسخ وانت وش دخل اهلك فينا يانذل,1
سود الله وجهك الاسود ياشعبوي يانذل,1
قبحك الله يانذل,1
لعنك الله  ياادنس وانجس الرجال,-1
لعنك الله .ياادنس وانجس الرجال,1
ياناقص المرجله والشهامه يالي ماتسوى لباس حيضهن يانذل,1
ياناقص المرجله والشهامه يالي ماتسوى لباس حيضهن يانذل,1
اكرهك يانذل,1
آه يانذل ياحقير ياواطي,1
يانذل نجوم السماء اقرب لك وانت اجلس انبح,1
كذاب يانذل تكذبون كما تنفسون حقراء,1
لعنة الله عليك وعلى من على شاكلتك حاشد اسيادك يانذل,1
لعنة الله عليك وعلى من على شاكلتك حاشد اسيادك يانذل,-1
ليك لعنة الله ورسوله يانذل,-1
ليك لعنة الله ورسوله يانذل,1
احذف يا ابن الكلب ليتها جت بوجهك يانذل,1
كل خراك يانذل لا تتكلم عن اسيادك,1
كل خراك يانذل لا تتكلم عن اسيادك,1
انت اصلا ايراني انعل ابوك لابو ايران يانذل,1
طلال اليافعي حط اول صورتك يانذل,1
انت مرتزق اصلا اسم الشامي كبير عليك يانذل يامرتزق,1
كل زق ياملعون الولدين الملك سلمان داعس على خشمك وولي العهد. روح شم اطياز ألاأتراك علشان يحمونك ياذنب أيران,-1
اجاك الموت ياملعون الولدين يا عبد ايران عليك نعلة الله انت ولي خلفك,-1
والله انك كذاب ياملعون الولدين ياذنب ايران,-1
يالص ياملعون الولدين ياشيبه ياخرف,-1
عزيزي النامس الله يجعل دمي سم في بطنك ياملعون الولدين هاقل امين,-1
"بحظرك ياملعون الولدين ياقليل الحياء،ولاادب  يابلاذوق وعديم احترم",-1
يلعن وجهك انت ياملعون الولدين ويلعن ابوك لي ماربك ياعديم الشرف وعديم الرجوله,-1
يلعن وجهك انت ياملعون الولدين ويلعن ابوك لي ماربك ياعديم الشرف وعديم الرجوله,1
"يكفيك طبل ياحقيروتحرض موت بغيظك يابخيتي انجلط يامنحط،عفاش تاج راسك وراس ابوك ياملعون الولدين",-1
خلعوراسك واضراسك ياملعون الولدين ارقد رقدوعينك ياواطي مكنك ولاتفهم,-1
دخن من موخرتك فضحتنا ياملعون الولدين,-1
والله ياملعون الولدين ماشفنا منكم غير اولادكم داعش,-1
الله يلعنك ياملعون الولدين,-1
عليك لعنت الله وناس اجمعين ياملعون الولدين,-1
عليك لعنت الله وناس اجمعين ياملعون الولدين,-1
برانديلي اشوف فيك يوم ياملعون الولدين,-1
حسبي الله عليك ياملعون الولدين كل كبير له كبير,-1
صورة تثبت ان الجيش الوطني علي بعد  مئة الامتار من مينا الحديدة  ياحوثي ياملعون الولدين,-1
ا تحالف ياملعون الولدين  عليكم غضب اللة  لاانتم حررتونا  ولانتم تركتونا نتشيع,-1
الله يلعنك ياملعون الولدين قبحك الله بهذي الصوره الف لعنه عليك ياارمله يامدعوس ياحرامي ياسارق يامجوسي,-1
الله يلعنك ياملعون الولدين قبحك الله بهذي الصوره الف لعنه عليك ياارمله يامدعوس ياحرامي ياسارق يامجوسي,1
ياملعون الولدين اين الغاز  ظحكت علي المستظعفين هذا حال الموطنين الي تخظع  لسلطه الحوتي,-1
السعيم قال على اللجان الشعبية انها ملشيات ياملعون الولدين لولا اللجان الشعبية انك جالس تحت رحمه عيال ااالاحمر,-1
استاذ ابو هيثم انت واحد كلب اعلامي وكل لابتحكي كذب بكذب ولابيسمع الك بكون حمار يلعن ابو الانفضك ياملعون الولدين,-1
والله انك ياملعون الولدين ابن حرام يافتال ياابن الفتال تعتبر انت جزمه من جزمات بني سلول,-1
ودهاليز وتحت الارض وتحت القبور ياملعون الولدين من يوم ماخلقت الي هذه اليوم ياعفوشة.يلي خليت البلد والعباد سرق ومدبوشة,-1
لاجهنم ياملعون الولدين,-1
سود الله وجهك ياملعون الولدين الخيار الأول,-1
ياحوثي ياملعون الولدين يكفي سفك ادما,-1
ياملعون الولدين اسم الله ماينكتب على النعال الله ينعلك,-1
ياحاج حماس بتقلك براحتك بزياده شهر ياملعون الولدين,-1
تجي بأدب هلا فيك وحياك الله🌹 تغلط ماراح اكلمك اعطيك بلوك يقسم جبهته نصين ياملعون الولدين,-1
كذاب في عينك ياقذر,1
مابغل الا انت ياحمار هذيل رجال زايد شوف اسمك الوصخ وعقب اتكلم عن الرجال ياقذر,1
مابغل الا انت ياحمار هذيل رجال زايد شوف اسمك الوصخ وعقب اتكلم عن الرجال ياقذر,1
حاسدة عشانه اخذ كم ريال وارتاح شوي من شيل قذارتك ياقذر,1
جاوب على قد السؤال يابصري إلا لايوجد جواب سو السب والقذارة ياقذر,1
وانت ياقذر وَيَا ابن الصرماية وياصرماية الحمدين وموزه ايش دخل أمك في السعودية على قولة احلام مقهورين,1
القذاره في الفقراويه فقط ياقذر اللسان,1
ياحيوان ياقذر,1
تعبت نفسيا ياقذر من عبارة السعوديين الأصليين,1
ختفو عليك وعلى اختك يايمني ياقذر,1
صحيح درزي قذر اشدخل امك في اسيادك ياقذر روح لبلد شوف داعش دمرهم ونت بوق لقناة الفتن ياوضيع صحيح اللي اختشوا ماتوا,1
عقبال مايعتقلونك ياقذر,1
والله من حر مافيه الدرزي والله انك تكذب وتعرف انك كاذب لان الي يغردون سعوديين من كافة اطياف الشعب ومت بغيضك ياقذر,1
مابقي الا انت ياقذر تتجراء تتكلم على سيدك وتاج راسك سمو الامير المحبوب ولي العهد حفظه الله,1
ابعم نن شكلك خميني ياقذر,1
وانت مالك امك ياسعودى يامعزه ياقذر مالك ومال مصر انت,1
وانت مالك امك ياسعودى يامعزه ياقذر مالك ومال مصر انت,1
ياقذارة بعض الناس اللي هنا ياقذارتهم بينط فيهم عرق القذارة اكثر بسبب فوز لاعب من الهلال كلام ماله داعي يمثل تربيتك ياقذر,1
رح ندوس على بشارك ونحط صورة اردوغان على باب بيتك ياقذر,1
ياوسخ ياقذر بقلك الولد العار بجيب لاهله الشتيمه فبلاش هم ملهمش ذنب انهم عندهم زيك عار,1
في االدوله اللي تخبي الفلوس اللي جمعتها من لهث لسانك ياقذر,1
اليمن للعرب وليست لملالي ايران واذنابها ياقذر,1
لانك قذر وابن ستين كلب كل كلامكم قذف في الاعراض ياقذر,1
الله يهلكك انت وامثالك ياقذر,1
اخرس ياحوثى ياقذر,1
لعنة الله على هالوجه يالخائن ياقذر,1
يا عديم التربيه ياقذر,1
لعنة الله عليك ياقذر ياسافل يامنحط,1
"اقسم بالله اقل حاجه يسويها بلاغ ، بس مترفع عنك وعن اشكالك ياقذر",1
اليمني والسوداني اعمامك يافارسي ياقذر,1
لاتجيب اسم محمد بن سلمان ع لسانك ياقذر,1
معزوم ع الي فتيتو بوجوب اكله لعنة الله عليك ياقذر,1
معزوم ع الي فتيتو بوجوب اكله لعنة الله عليك ياقذر,-1
انت بسبب فساد وبيان من ناديك ياقذر,1
تعقب يالديوث بنات السعوديه اشرف من اهلك,1
تفوا عليك وعلى الي جابك ياقذر,1
نظرتك نابعه من دنائة اخلاقك ولنا في برنامج القذر ياقذر مثال على اخلاقك واسلوبك الشوارعي,1
وانت وش لك علاقة بالرياضة وبالسعودية وشأنها ياحوثي ياقذر,1
انت تعرف الله ياقذر وقد تلطخت يدك بأيدي القتله المجرمين لعنة الله عليك يامناصر الطغاة,1
مليار لعنة على روحه جرذي العوجة بطل الحفر ولعنة عليك ياقذر,1
ياشاذ ياقذر ماهي امريكا عايزاكم كدا,1
السودانيين اشرف واطهرك منك ياقذر,1
ماتعقب يانجس ياوصخ,1
ايش دخل الاخوان وهم مع التحالف يانجس,1
يا عبدالبقدونس انت لا تعرف من هي دولة الامارات العربية لان دم الفرس يمشى في جسدك نجاسة على نجاسة يانجس,1
خسئت يارافضي يانجس باذن الله سنحرر ايران والعراق والشام واليمن من رجسكم يا كلاب اليهود,1
خسئت يارافضي يانجس باذن الله سنحرر ايران والعراق والشام واليمن من رجسكم يا كلاب اليهود,1
يابن ملقية الإزار سترى الحق ولو بعد حين يانجس,1
وش دخلك طيب بيننا وبين ولدنا مالك شغل يانجس وكلنا تركي ال شيخ,1
هذا بالبحرين يانجس المرأة السعودية جزمتها اطهر منك,1
مملكة الرماال سوف تدوس انفك في التراب أنت واسيادك يانجس,1
اقطع وخس ي رافضي يانجس ولاتكلم عن الاسلام والقرآن,1
لا تتكلم على قطر يانجس سلمان حقك ذي يرسلنا صواريخ يقتل بها اطفال اليمن انت كذاب اشر,1
حسبي الله ونعم الوكيل تستقوي على أطفال يانجس حزباله,1
